Posicion,Nombre,Puntos Totales,Media,PJ,Ultimos puntos
MC,Embarba,44,2.4,18,22266
DF,Alex Suárez,44,2.9,15,6----
DF,Albiol,44,2.6,17,-22-22
MC,Antonio Sánchez,44,3.1,14,662--2
DF,Martin Valjent,44,2.8,16,---26
DL,Raul García de Haro,44,2.6,17,299-2
MC,Marvin Park,44,3.1,14,-6222
DL,Douvikas,43,2.9,15,2922-
DF,Aleksandar Sedlar,43,3.9,11,-----
MC,Tchouameni,42,3,14,22---
MC,Alberto Moleiro,42,4.7,9,2-266
DL,Umar Sadiq,42,2.5,17,62229
DF,Juanlu Sánchez,42,3.2,13,26-226
MC,Pablo Barrios,42,4.7,9,-----
MC,Pablo Torre,42,3.2,13,662-6
DL,Sergio Camello,42,2.8,15,162---2
DF,Manu Sánchez,42,2.8,15,26-26
MC,Moncayola,42,2.5,17,222-2
DF,Kike Salas,42,4.7,9,662-11
MC,Dion Lopy,42,2.5,17,62222
DL,Roger,42,2.6,16,--292
MC,Sergio Ruiz,42,2.5,17,22262
DF,Gabriel Paulista,41,2.7,15,6---56
DF,Catena,41,2.7,15,2----2
DF,Djené,41,2.6,16,2-62-2
MC,Saúl,40,2.1,19,-2-2-22
DF,Aihen Muñoz,40,2.1,19,-2--2
MC,Trejo,40,2.7,15,---22
DF,Damián Suárez,40,2.7,15,-42--2
MC,Fran Beltrán,40,2.4,17,2----
MC,Alex Sola,40,2.5,16,--2222
DF,Jaume Costa,40,2.4,17,-6622
MC,Aleñá,40,2.7,15,2--2-
DF,Abdel Abqar,40,2.9,14,-6-22
DF,Sergio Ramos,39,3.9,10,21522-
DL,Ez Abde,39,2.4,16,-2222
DL,Cyle Larin,39,2.2,18,22296
DF,Nahuel Molina,38,2.4,16,22-22-2
PT,Dmitrovic,38,3.5,11,26-266
DL,Ilias Akhomach,38,2.5,15,62622
MC,Baba,38,2.2,17,-62--
DL,Lucas Boyé,37,2.5,15,6-2222
DF,Pedraza,37,2.8,13,-11222
DF,Diakhaby,37,3.1,12,-6622
MC,Luca de la Torre,37,2.2,17,2-22-22
MC,Luis Milla,36,4,9,26662
PT,Iñaki Peña,36,6,6,266610
PT,Rui Silva,36,3.6,10,226610
DF,Rafa Marín,36,2.3,16,26222
DF,Aridane Hernández,36,3.6,10,6----
MC,Ianis Hagi,36,2.6,14,--2222
DL,Luis J. Suárez,36,4.5,8,-----
MC,Rodrigo Sanchez,36,2.6,14,222--
DF,Juan Iglesias,36,2.6,14,-2662
DL,Marc Cardona,36,3.3,11,6--2-
DF,Álvaro Fernández,36,2.8,13,62---
DL,Bebé,36,2.6,14,-22--
DF,Sergi Roberto,35,5.8,6,620---
DF,Abdul Mumin,35,3.5,10,-662-2
DF,Matija Nastasić,35,2.5,14,21122-
DF,Kieran Tierney,34,3.8,9,2666-2
DF,Alejandro Balde,34,2,17,222-2-
DL,Assane Diao,34,2.8,12,-2622-2
DF,Juan Miranda,34,3.1,11,-2---
DL,Mata,34,2,17,2692-
MC,Iker Muñoz,34,2.8,12,2222-
MC,Pablo Ibáñez,34,2.3,15,21022-
DF,Lucas Vázquez,33,2.2,15,-15622
DL,Sergi Canós,33,2.8,12,1092--
DF,Jorge Cuenca,33,2.5,13,-222-22
MC,Pedri,32,4,8,--6610
DF,Iñigo Martínez,32,4,8,-----
DF,David Alaba,32,2.3,14,--262
PT,Guaita,32,3.2,10,26262
DF,Giménez,32,2.5,13,2-22-2
MC,Guillamón,32,2.7,12,6214--
MC,Beñat Prados,32,2.7,12,26662
DF,Azpilicueta,32,2,16,-22-2-2
DF,Abner Vinicius,32,2.5,13,2-662
DF,Mojica,32,2.9,11,----2
DF,Juan Cruz,32,2.5,13,-2222
DL,Chimy Ávila,31,1.8,17,22622
DL,Darwin Machís,31,2.1,15,2---2-
DF,Luis Hernández,31,3.9,8,2----
DF,Nacho,30,2.5,12,--46--
DL,Memphis Depay,30,3,10,-22-26
DF,Christensen,30,2,15,2-2-26
MC,Óliver Torres,30,2,15,22---
PT,Ørjan Nyland,30,4.3,7,-----
MC,Álex Fernández,30,2,15,-22262
DF,Omar Alderete,30,2.3,13,22---8
MC,Melero,30,2,15,--2-2
DF,Foulquier,30,2,15,62266
MC,Puertas,30,1.7,18,-6---
MC,Selim Amallah,29,2.4,12,-22-2
DF,Stefan Mitrovic,29,2.6,11,2----
DL,Arnáiz,29,2.2,13,622--
DF,Arnau Martínez,28,2.3,12,2-2--
MC,Erik Lamela,28,4,7,-----
MC,Ramón Terrats,28,2,14,2-2--
DL,Maxi Gómez,28,1.8,16,-22622
MC,Unai Gómez,28,3.1,9,614---
DF,Lato,28,2.2,13,2--22
DF,José Ángel Carmona,27,2.1,13,22---
DL,Randy Nteka,27,3.4,8,222--
DL,Pejiño,27,2.7,10,6-9--
MC,Carvalho,26,2.6,10,262--
MC,Soumaré,26,2.4,11,-622-
MC,Carlos Benavidez,26,2,13,2-22-
MC,Melendo,26,2,13,--2--
DF,Pozo,26,1.9,14,22262
MC,Beñat Turrientes,26,2.2,12,-226-
DF,Raúl Torrente,26,2,13,--2262
DF,Alberto Moreno,25,1.9,13,22--2
MC,Omar Mascarell,25,2.1,12,2-222
DF,Miguel Rubio,25,3.1,8,2----
DL,De Tomás,24,1.7,14,-262-
DF,Edgar González,24,1.6,15,27226
DF,Acuña,24,3,8,----2
DL,Sandro,24,3,8,22--6
DL,José Callejón,24,1.5,16,22-2-
MC,Óscar,24,2,12,-6-22
MC,Dani García,24,2.4,10,-----
DL,Sobrino,24,1.4,17,-82222
DL,Falcao,23,2.1,11,22-22
MC,Arsen Zakharyan,22,1.8,12,--262
DF,Jesús Navas,22,1.8,12,-----
DL,Yéremy Pino,22,3.1,7,-----
MC,Santi Comesaña,22,2,11,-2--2
PT,Bravo,22,3.1,7,-----
DL,Carlos Fernández,22,2.2,10,-2---
PT,David Gil,22,5.5,4,-6--10
MC,Kike Barja,22,2,11,-----
MC,Carlos Dotor,22,1.7,13,-22--
MC,Hugo Sotelo,22,2.8,8,----2
DF,Savic,21,2.1,10,--5--2-
DF,Mandi,21,2.3,9,-112--
DL,Villalibre,21,2.6,8,---2-
DF,Mendy,20,2,10,--222
DF,Bellerín,20,1.7,12,-----8
MC,Muniain,20,1.8,11,----2
PT,Iván Villar,20,1.8,11,-6----
MC,Morlanes,20,1.3,16,222-2
MC,Swedberg,20,2.9,7,10----
DF,Chumi,20,1.2,17,2222-
MC,Guardado,20,1.8,11,--2-2-
MC,Rominigue Kouamé,20,2.2,9,222--
MC,Tapia,19,1.7,11,62622
DL,Sory Kaba,19,1.6,12,--2---
DL,Benito Ramirez,19,2.4,8,--22-
DF,Yarek Gasiorowski,18,4.5,4,--666
DL,Amath,18,1.2,15,--2-2
DF,Nacho Vidal,17,2.4,7,--2-2
DF,Loïc Badé,16,1.3,12,2----
MC,Ceballos,16,1.8,9,---22
MC,André Almeida,16,2,8,-----
DL,Luiz Henrique,16,1.5,11,2----2
MC,Robert Navarro,16,1.8,9,262--
DF,Elustondo,16,2.3,7,-2-2-
DF,Carlos Dominguez,16,2.7,6,262--
DF,Jon Pacheco,16,2,8,---2-
DF,Kevin Vázquez,16,1.8,9,-2622
