,NOMBRE,EQUIPO,MJ,PJ,PPJ,PC,PPC,PT,PPT,PS,PPS,TA,TR,SA,G,PR,GPP,GE
,CONAN LEDESMA,CADIZ CF,1339,15,5.56,14,5.56,15,5.56,1,5.56,0,0,0,0,0,0,22
,JOSE MANUEL ARIAS COPETE,RCD MALLORCA,547,8,22.22,3,22.22,7,22.22,4,22.22,3,0,0,0,0,0,11
,CRISTHIAN MOSQUERA,VALENCIA CF,1274,16,5.56,12,5.56,13,5.56,1,5.56,1,0,0,0,0,0,18
,CRISTHIAN STUANI,GIRONA FC,566,17,27.78,0,27.78,5,27.78,5,27.78,5,0,0,6,0,0,9
,CRISTIAN HERRERA,UD LAS PALMAS,122,6,0.00,1,0.00,1,0.00,0,0.00,1,0,0,1,0,0,4
,CYLE LARIN,RCD MALLORCA,780,17,33.33,1,33.33,7,33.33,6,33.33,2,0,0,1,0,0,8
,CESAR AZPILICUETA,ATLETICO DE MADRID,948,15,22.22,5,22.22,9,22.22,4,22.22,3,0,0,0,0,0,12
,CESAR MONTES,UD ALMERIA,784,9,5.56,8,5.56,9,5.56,1,5.56,2,0,0,0,0,0,20
,CESAR TARREGA,VALENCIA CF,7,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,DALEY BLIND,GIRONA FC,1531,18,5.56,16,5.56,17,5.56,1,5.56,3,0,0,0,0,0,20
,DALEY SINKGRAVEN,UD LAS PALMAS,222,5,16.67,1,16.67,4,16.67,3,16.67,0,0,0,0,0,0,2
,DAMIAN SUAREZ,GETAFE CF,1146,14,27.78,8,27.78,13,27.78,5,27.78,6,0,0,0,0,0,18
,DANI CARVAJAL,REAL MADRID,1090,13,27.78,8,27.78,13,27.78,5,27.78,1,0,0,2,0,0,5
,DANI CEBALLOS,REAL MADRID,140,8,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,0
,DANIEL GARCIA CARRILLO,ATHLETIC CLUB,399,10,16.67,1,16.67,4,16.67,3,16.67,3,0,0,1,0,0,7
,DANI PAREJO,VILLARREAL CF,1487,17,33.33,11,33.33,17,33.33,6,33.33,2,0,0,2,0,0,32
,DANI RODRIGUEZ,RCD MALLORCA,1360,17,61.11,5,61.11,16,61.11,11,61.11,5,0,0,2,0,0,20
,DANI VIVIAN,ATHLETIC CLUB,1599,18,11.11,16,11.11,18,11.11,2,11.11,3,0,0,0,0,0,19
,DARWIN MACHIS,CADIZ CF,677,14,38.89,2,38.89,9,38.89,7,38.89,0,1,0,3,0,0,11
,DAVID ALABA,REAL MADRID,1156,14,11.11,12,11.11,14,11.11,2,11.11,2,0,0,0,0,1,10
,DAVID GARCIA,CA OSASUNA,1530,17,0.00,17,0.00,17,0.00,0,0.00,2,0,0,0,0,0,27
,DAVID GIL,CADIZ CF,281,4,0.00,3,0.00,3,0.00,0,0.00,1,0,0,0,0,0,2
,DAVID LOPEZ,GIRONA FC,1193,15,27.78,10,27.78,15,27.78,5,27.78,3,0,0,2,0,0,15
,DAVID SORIA,GETAFE CF,1620,18,0.00,18,0.00,18,0.00,0,0.00,2,0,0,0,0,0,23
,DENIS SUAREZ,VILLARREAL CF,131,4,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,5
,DIEGO LOPEZ,VALENCIA CF,1335,18,77.78,2,77.78,16,77.78,14,77.78,1,0,0,2,0,0,16
,DIEGO MARINO,UD ALMERIA,90,1,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,2
,DIEGO MENDEZ,RAYO VALLECANO,4,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,DIEGO RICO,GETAFE CF,1156,13,22.22,9,22.22,13,22.22,4,22.22,5,0,0,0,0,0,17
,DIMITRI FOULQUIER,VALENCIA CF,464,14,5.56,2,5.56,3,5.56,1,5.56,2,0,0,0,0,0,7
,DION LOPY,UD ALMERIA,1095,16,33.33,7,33.33,13,33.33,6,33.33,2,0,0,0,0,0,28
,DJENE DAKONAM,GETAFE CF,1066,15,22.22,9,22.22,13,22.22,4,22.22,6,1,1,0,0,0,13
,DJIBRIL SOW,SEVILLA FC,913,14,44.44,3,44.44,11,44.44,8,44.44,2,0,0,1,0,0,12
,DODI LUKEBAKIO,SEVILLA FC,743,12,33.33,3,33.33,9,33.33,6,33.33,0,0,0,2,0,0,9
,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,760,11,5.56,8,5.56,9,5.56,1,5.56,3,2,1,0,0,0,14
,EDGAR GONZALEZ,UD ALMERIA,1164,14,5.56,13,5.56,14,5.56,1,5.56,1,1,1,1,0,0,25
,EDUARDO CAMAVINGA,REAL MADRID,751,13,38.89,2,38.89,9,38.89,7,38.89,3,0,0,0,0,0,6
,ENZO LOIODICE,UD LAS PALMAS,1079,18,44.44,4,44.44,12,44.44,8,44.44,1,0,0,0,0,0,8
,ERIC CURBELO,UD LAS PALMAS,90,1,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,2
,ERIC GARCIA,GIRONA FC,1189,15,16.67,10,16.67,13,16.67,3,16.67,2,0,0,1,0,0,18
,FABRIZIO ANGILERI,GETAFE CF,77,5,5.56,0,5.56,1,5.56,1,5.56,2,1,0,0,0,0,3
,RAFAEL JIMENEZ JARQUE,CADIZ CF,1429,17,16.67,14,16.67,17,16.67,3,16.67,7,0,0,0,0,0,20
,FAMARA DIEDHIOU,GRANADA CF,82,8,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,1,0,3
,FEDE SAN EMETERIO,CADIZ CF,140,3,11.11,0,11.11,2,11.11,2,11.11,1,1,0,1,0,0,1
,FEDERICO GATTONI,SEVILLA FC,9,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,FEDERICO VALVERDE,REAL MADRID,1478,18,33.33,11,33.33,17,33.33,6,33.33,1,0,0,1,0,0,8
,FERLAND MENDY,REAL MADRID,725,10,27.78,4,27.78,9,27.78,5,27.78,2,0,0,0,0,0,3
,FERMIN LOPEZ,FC BARCELONA,508,12,33.33,0,33.33,6,33.33,6,33.33,1,0,0,1,0,0,7
,FERNANDO FRANCISCO REGES,SEVILLA FC,459,8,22.22,1,22.22,5,22.22,4,22.22,0,0,0,0,0,0,10
,FERNANDO MARTINEZ,UD ALMERIA,180,2,0.00,2,0.00,2,0.00,0,0.00,0,0,0,0,0,0,7
,FERRAN TORRES,FC BARCELONA,725,17,27.78,2,27.78,7,27.78,5,27.78,2,0,0,3,1,0,10
,FILIP JORGENSEN,VILLARREAL CF,1620,18,0.00,18,0.00,18,0.00,0,0.00,1,0,0,0,0,0,35
,FLORIAN LEJEUNE,RAYO VALLECANO,1618,18,5.56,17,5.56,18,5.56,1,5.56,4,0,0,0,0,1,24
,FRAN BELTRAN,RC CELTA,1020,16,38.89,5,38.89,12,38.89,7,38.89,2,0,0,0,0,0,19
,FRAN GARCIA,REAL MADRID,680,13,27.78,3,27.78,8,27.78,5,27.78,1,0,0,0,0,0,8
,FRAN PEREZ,VALENCIA CF,1178,18,72.22,2,72.22,15,72.22,13,72.22,4,0,0,1,0,0,11
,FRANCISCO BARBOSA VIEITES,REAL BETIS,225,3,0.00,2,0.00,2,0.00,0,0.00,0,0,0,0,0,0,4
,FRANCIS COQUELIN,VILLARREAL CF,6,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,FRANCO CERVI,RC CELTA,365,9,16.67,1,16.67,4,16.67,3,16.67,1,0,0,0,0,0,7
,FRENKIE DE JONG,FC BARCELONA,846,10,5.56,9,5.56,10,5.56,1,5.56,5,0,0,1,0,0,11
,GABRI VEIGA,,17,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,GABRIEL ARMANDO DE ABREU,VALENCIA CF,1061,14,5.56,11,5.56,12,5.56,1,5.56,4,1,1,0,0,0,15
,GASTON ALVAREZ,GETAFE CF,1351,16,5.56,14,5.56,15,5.56,1,5.56,4,0,0,1,0,0,17
,PABLO MARTIN PAEZ GAVIRA,FC BARCELONA,943,12,5.56,9,5.56,10,5.56,1,5.56,5,0,0,1,0,0,11
,GERARD GUMBAU,GRANADA CF,1430,17,38.89,10,38.89,17,38.89,7,38.89,9,0,0,0,0,0,35
,GERARD MORENO,VILLARREAL CF,1125,15,55.56,4,55.56,14,55.56,10,55.56,0,0,0,8,0,0,25
,GERMAN PEZZELLA,REAL BETIS,1493,17,11.11,15,11.11,17,11.11,2,11.11,3,0,0,1,0,0,13
,GIORGI MAMARDASHVILI,VALENCIA CF,1620,18,0.00,18,0.00,18,0.00,0,0.00,1,0,0,0,0,0,22
,GIOVANNI GONZALEZ,RCD MALLORCA,1109,17,27.78,7,27.78,12,27.78,5,27.78,4,0,0,0,0,0,14
,GONZALO ESCALANTE,CADIZ CF,691,11,22.22,3,22.22,7,22.22,4,22.22,0,1,0,0,0,0,12
,GONZALO GARCIA,REAL MADRID,17,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,GONZALO MELERO,UD ALMERIA,726,15,33.33,2,33.33,8,33.33,6,33.33,2,0,0,0,0,0,21
,GONZALO VILLAR,GRANADA CF,846,16,50.00,1,50.00,10,50.00,9,50.00,4,0,0,1,1,0,20
,GORKA GURUZETA,ATHLETIC CLUB,1250,18,77.78,3,77.78,17,77.78,14,77.78,2,0,0,8,1,0,11
