,NOMBRE,EQUIPO,MJ,PJ,PPJ,PC,PPC,PT,PPT,PS,PPS,TA,TR,SA,G,PR,GPP,GE
,STOLE DIMITRIEVSKI,RAYO VALLECANO,1620,18,0.00,18,0.00,18,0.00,0,0.00,1,0,0,0,0,0,24
,JESUS JOAQUIN FERNANDEZ SAENZ DE LA TORRE,SEVILLA FC,762,14,33.33,3,33.33,9,33.33,6,33.33,3,0,0,1,0,0,16
,SAVIO MOREIRA DE OLIVEIRA,GIRONA FC,1459,18,66.67,6,66.67,18,66.67,12,66.67,2,0,0,4,1,0,18
,TAKEFUSA KUBO,REAL SOCIEDAD,1328,17,38.89,8,38.89,15,38.89,7,38.89,2,0,0,6,0,0,13
,TANGUY NIANZOU,SEVILLA FC,89,2,5.56,0,5.56,1,5.56,1,5.56,0,0,0,0,0,0,0
,TASOS DOUVIKAS,RC CELTA,389,14,11.11,1,11.11,3,11.11,2,11.11,1,0,0,3,0,0,12
,THIERRY RENDALL CORREIA,VALENCIA CF,1380,17,38.89,10,38.89,17,38.89,7,38.89,2,1,0,0,0,0,18
,THOMAS LEMAR,ATLETICO DE MADRID,166,3,16.67,0,16.67,3,16.67,3,16.67,0,0,0,0,0,0,2
,TOMAS MENDES,DEPORTIVO ALAVES,5,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,TONI KROOS,REAL MADRID,1143,18,27.78,7,27.78,12,27.78,5,27.78,2,0,0,1,0,0,10
,ANTONIO LATORRE GRUESO,RCD MALLORCA,611,12,33.33,0,33.33,6,33.33,6,33.33,1,0,0,0,1,0,7
,UMAR SADIQ,REAL SOCIEDAD,619,16,38.89,0,38.89,7,38.89,7,38.89,2,0,0,2,0,0,8
,UNAI GARCIA,CA OSASUNA,90,1,0.00,1,0.00,1,0.00,0,0.00,1,0,0,0,0,0,1
,UNAI GOMEZ,ATHLETIC CLUB,148,10,5.56,0,5.56,1,5.56,1,5.56,0,0,0,2,0,0,5
,UNAI LOPEZ,RAYO VALLECANO,950,16,66.67,1,66.67,13,66.67,12,66.67,4,0,0,1,0,0,15
,UNAI NUNEZ,RC CELTA,1619,18,5.56,17,5.56,18,5.56,1,5.56,4,0,0,1,1,0,28
,UNAI ROPERO,DEPORTIVO ALAVES,5,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,UNAI SIMON,ATHLETIC CLUB,1620,18,0.00,18,0.00,18,0.00,0,0.00,2,0,0,0,0,0,19
,URKO GONZALEZ,REAL SOCIEDAD,103,2,11.11,0,11.11,2,11.11,2,11.11,1,0,0,0,0,0,2
,VALERY FERNANDEZ,GIRONA FC,235,14,0.00,0,0.00,0,0.00,0,0.00,0,0,0,1,0,0,5
,VEDAT MURIQI,RCD MALLORCA,1059,12,16.67,9,16.67,12,16.67,3,16.67,0,0,0,4,0,0,18
,VICENTE GUAITA,RC CELTA,782,9,0.00,8,0.00,8,0.00,0,0.00,2,0,0,0,0,0,13
,VICTOR CHUST,CADIZ CF,362,5,11.11,3,11.11,5,11.11,2,11.11,0,1,0,0,0,0,4
,VIKTOR TSYGANKOV,GIRONA FC,956,14,50.00,3,50.00,12,50.00,9,50.00,0,0,0,3,0,0,11
,VINICIUS JOSE PAIXAO DE OLIVEIRA JUNIOR,REAL MADRID,709,10,44.44,1,44.44,9,44.44,8,44.44,2,0,0,4,0,0,3
