Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Portu,Girona FC,876.010€,31,13,287,1,0,1,6,0,2,4,17,39,0,2,0,0,0,0,0,0,0,0
Jose Arnaiz,C.A. Osasuna,606.307€,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garcia Pimienta,UD Las Palmas,476.252€,30,10,596,0,0,0,0,19,2,0,48,66,0,7,0,0,0,2,0,0,0,0
Savic,Atlético de Madrid,5.992.505€,30,14,680,1,0,1,0,25,2,1,31,65,0,11,0,0,1,3,0,0,0,0
Mitrovic,Getafe CF,675.626€,30,14,1035,0,1,2,1,41,3,0,50,80,0,27,0,0,1,2,0,0,0,0
Chumi,UD Almería,477.674€,30,14,469,0,0,1,1,5,7,2,25,35,0,7,0,0,0,1,0,0,0,0
Turrientes,Real Sociedad,500.613€,30,5,231,1,1,0,2,1,12,1,9,37,0,4,0,0,0,0,0,0,0,0
Moleiro,UD Las Palmas,2.356.049€,30,9,374,0,1,1,0,3,15,4,25,66,0,4,0,0,0,2,1,0,0,0
Amallah,Valencia CF,1.213.402€,30,10,422,0,0,0,0,7,0,0,48,50,0,9,0,16,0,1,0,0,0,0
Guaita,RC Celta,1.836.450€,29,9,273,0,1,1,0,7,0,2,13,20,0,2,0,0,0,0,0,0,0,0
Aritz,Real Sociedad,636.197€,29,13,807,0,0,1,14,15,5,0,66,192,0,13,1,0,1,2,0,0,0,0
Navas,Sevilla FC,1.975.664€,29,9,602,0,2,2,9,7,4,1,43,90,0,12,1,0,0,2,0,0,0,0
Pedraza,Villarreal CF,2.619.716€,29,13,271,1,1,1,2,0,0,4,11,41,0,5,0,0,0,1,0,0,0,0
Marc,UD Las Palmas,530.527€,29,14,319,2,0,0,0,1,3,4,11,51,0,2,0,0,0,1,0,1,0,0
Abde,Real Betis,3.091.488€,29,13,368,1,0,0,1,0,11,2,14,85,0,5,0,0,0,0,0,0,0,0
Leo Baptistao,UD Almería,509.418€,29,12,502,2,0,0,0,7,1,6,24,88,0,13,0,0,0,3,0,0,0,0
Juanlu,Sevilla FC,579.696€,29,10,340,0,2,0,7,7,9,1,24,66,0,5,0,0,0,1,0,0,0,0
Carmona,Getafe CF,508.309€,28,10,482,1,1,0,2,5,2,2,36,71,0,9,0,0,0,3,0,0,0,0
Luis Hernández,Cádiz CF,965.508€,28,7,542,1,0,0,0,20,0,1,29,75,0,7,0,0,0,3,0,0,0,0
Gabbia,Villarreal CF,742.714€,28,13,478,0,0,0,0,36,0,0,26,35,0,10,0,0,0,2,0,0,0,0
Rafa Marín,Deportivo Alavés,532.919€,28,13,546,0,0,0,0,25,1,1,45,57,0,9,0,0,0,1,0,0,0,1
Morlanes,RCD Mallorca,620.350€,28,13,360,0,0,0,1,4,3,1,38,36,0,7,0,0,0,1,0,0,0,0
Bebé,Rayo Vallecano,524.783€,28,14,78,2,0,0,3,0,7,4,7,31,0,1,0,0,0,1,0,0,0,0
Rafa Mir,Sevilla FC,728.793€,28,13,189,1,0,0,1,0,2,6,9,31,0,0,0,0,0,1,0,0,0,0
Giménez,Atlético de Madrid,4.524.060€,27,8,365,0,0,0,0,25,2,0,17,35,0,4,0,0,0,2,0,0,0,0
Neva,Granada CF,545.356€,27,14,1211,0,1,4,10,30,0,0,71,175,0,30,0,0,0,2,0,0,0,0
Antonio Puertas,Granada CF,516.747€,27,13,513,0,2,0,1,4,11,4,24,74,1,15,1,0,0,0,0,0,0,0
Melendo,Granada CF,543.649€,27,14,764,0,0,0,1,2,6,0,43,78,0,17,0,0,1,2,0,0,0,0
Camello,Rayo Vallecano,981.310€,27,13,510,0,1,1,0,2,4,5,20,60,0,9,0,0,0,2,0,0,0,0
Dmitrovic,Sevilla FC,1.653.708€,26,12,450,0,0,0,0,7,1,0,39,45,0,9,0,18,0,0,0,0,0,1
Lucas Vázquez,Real Madrid,713.341€,26,14,170,0,1,2,2,4,7,3,12,34,0,4,0,0,0,0,0,0,0,0
Miguel Rubio,Granada CF,610.909€,26,8,559,1,0,0,0,24,1,1,45,71,0,14,0,0,0,1,0,0,0,0
Dani García,Athletic Club,529.673€,26,12,400,1,0,0,0,4,1,3,27,33,0,7,0,0,0,3,0,0,0,0
Kike Pérez,Rayo Vallecano,590.292€,26,13,380,1,0,0,1,4,2,4,26,73,0,5,0,0,0,2,0,0,0,0
Sergio Ruiz,Granada CF,494.849€,26,14,630,0,0,1,1,10,4,0,57,78,0,16,0,0,0,2,0,0,0,0
Luis Garcia,Deportivo Alavés,476.986€,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lekue,Athletic Club,540.917€,25,14,520,0,0,1,1,14,3,0,41,75,0,7,0,0,0,2,0,0,0,0
Abner,Real Betis,840.282€,25,8,302,1,0,0,0,3,5,3,13,47,0,6,0,0,0,0,0,1,0,0
Nteka,Rayo Vallecano,1.456.052€,25,7,373,0,0,2,2,4,8,4,19,62,0,3,0,0,0,0,0,1,0,0
Sandro,UD Las Palmas,1.032.002€,25,11,338,2,0,2,2,3,4,4,14,48,0,5,0,0,0,3,0,0,0,0
Lamela,Sevilla FC,809.286€,25,14,437,0,0,0,0,3,2,9,11,44,0,6,0,0,1,2,0,0,0,0
Larin,RCD Mallorca,762.310€,25,12,341,0,0,0,1,2,13,6,17,62,0,2,0,0,0,1,0,0,0,0
Pejiño,UD Las Palmas,511.000€,24,10,448,0,1,1,5,13,2,0,28,53,0,6,0,0,0,0,1,0,0,0
Alberto Moreno,Villarreal CF,551.333€,24,11,804,0,0,0,0,44,0,1,36,61,0,20,0,0,1,1,1,0,0,0
Edgar,UD Almería,686.242€,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco,Rayo Vallecano,533.788€,24,9,410,0,0,1,4,16,1,0,21,57,0,5,0,0,0,3,0,0,0,0
Araujo,UD Las Palmas,715.774€,23,9,406,0,0,0,0,27,2,0,25,45,0,6,0,0,0,0,0,0,0,0
Aidoo,RC Celta,1.070.041€,23,12,652,0,1,1,3,13,0,0,41,107,0,12,0,0,0,1,0,0,0,0
Juan Cruz,C.A. Osasuna,573.858€,23,10,208,2,0,0,0,3,2,4,6,30,0,9,0,0,0,0,0,0,0,0
Douvikas,RC Celta,1.271.353€,22,14,529,0,0,0,3,13,9,0,43,83,0,10,0,0,0,2,0,0,0,0
Maffeo,RCD Mallorca,1.493.149€,22,11,614,0,0,1,7,7,5,1,43,115,0,11,1,0,0,1,0,0,0,0
Gio González,RCD Mallorca,493.015€,22,14,833,0,0,0,5,11,3,2,57,121,0,12,0,0,1,3,0,0,0,0
William Carvalho,Real Betis,1.431.978€,22,8,196,0,1,0,0,1,1,0,25,40,0,0,0,0,0,0,0,0,0,0
Ander Herrera,Athletic Club,564.443€,22,8,479,0,0,0,3,4,9,4,34,65,0,7,0,0,0,4,0,0,0,0
Yéremy Pino,Villarreal CF,2.530.686€,22,5,147,2,0,0,1,0,2,3,1,27,0,1,0,0,0,0,0,0,0,0
Memphis,Atlético de Madrid,3.373.558€,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mendilibar,Sevilla FC,504.728€,22,10,673,0,0,0,0,30,0,0,40,99,0,14,0,0,1,2,0,0,0,1
Torrente,Granada CF,530.242€,21,10,262,0,0,1,1,8,3,0,21,47,0,5,0,0,0,1,0,0,0,0
Foulquier,Valencia CF,538.148€,21,12,587,0,0,0,1,22,1,0,41,78,0,9,0,0,0,2,0,0,0,1
Cenk,Valencia CF,754.672€,21,4,360,0,0,0,0,16,0,0,28,19,0,5,0,0,0,1,0,0,0,0
Luiz Felipe,Real Betis,13.325.245€,21,14,299,0,0,0,5,0,7,4,19,62,0,9,0,0,0,1,0,0,0,0
Muniain,Athletic Club,1.134.267€,21,12,287,0,0,0,2,3,2,0,24,36,0,3,0,0,0,1,0,0,0,0
Guardado,Real Betis,521.281€,21,14,623,0,1,1,0,4,7,2,16,67,0,21,0,0,0,2,0,0,0,0
